game_id,player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
401702885,Zoe Brooks,31,8-14,2-6,3-4,0,4,4,4,1,1,3,1,21
401702885,Aziaha James,28,7-14,0-3,3-3,1,8,9,1,1,0,2,1,17
401702885,Saniya Rivers,32,4-12,2-5,1-2,3,4,7,1,3,1,1,1,11
401702885,Madison Hayes,26,5-7,1-2,0-1,2,1,3,0,2,0,0,0,11
401702885,Tilda Trygger,10,1-1,0-0,1-1,3,0,3,0,0,2,0,0,3
401702886,Zoe Brooks,29,5-8,0-0,1-2,0,2,2,1,0,0,2,2,11
401702886,Aziaha James,35,4-9,1-3,4-4,0,0,0,3,3,0,4,1,13
401702886,Saniya Rivers,29,1-7,0-1,2-2,1,6,7,1,1,3,3,2,4
401702886,Madison Hayes,22,1-1,1-1,0-0,0,3,3,2,0,0,2,0,3
401702886,Tilda Trygger,22,1-5,0-2,0-0,0,3,3,0,1,0,1,0,2
401702887,Aziaha James,29,8-15,4-9,0-0,1,8,9,4,0,1,0,4,20
401702887,Saniya Rivers,32,3-9,0-2,0-0,0,5,5,3,2,1,2,1,6
401702887,Madison Hayes,25,3-9,1-4,2-2,2,6,8,0,1,1,0,2,9
401702887,Tilda Trygger,13,2-3,0-0,0-0,2,1,3,1,0,1,1,1,4
401702887,Zoe Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0
401702888,Zoe Brooks,36,6-12,2-4,1-2,0,6,6,3,0,0,1,2,15
401702888,Saniya Rivers,37,8-16,0-2,0-0,0,5,5,2,1,1,0,2,16
401702888,Madison Hayes,34,2-3,2-3,0-0,0,5,5,0,0,0,0,1,6
401702888,Tilda Trygger,14,0-2,0-1,1-2,1,1,2,1,0,0,0,1,1
401702888,Aziaha James,29,10-18,5-11,2-2,0,5,5,2,1,0,2,3,27
401702889,Zoe Brooks,28,2-4,1-2,1-4,0,9,9,4,0,3,3,2,6
401702889,Aziaha James,25,8-13,2-5,3-4,2,5,7,5,1,0,1,1,21
401702889,Saniya Rivers,24,3-8,0-1,0-0,1,4,5,3,1,1,2,1,6
401702889,Madison Hayes,25,7-10,3-6,1-1,1,3,4,1,2,1,0,0,18
401702889,Tilda Trygger,13,2-4,0-0,0-0,1,1,2,0,2,0,0,1,4
401724488,Zoe Brooks,28,5-10,0-3,7-9,1,2,3,3,1,0,1,2,17
401724488,Aziaha James,23,4-10,1-4,3-3,0,3,3,1,2,0,1,2,12
401724488,Saniya Rivers,32,2-6,0-2,1-2,1,6,7,3,1,1,4,2,5
401724488,Madison Hayes,26,2-5,0-2,4-4,1,6,7,0,1,1,0,0,8
401724488,Tilda Trygger,8,2-2,0-0,1-1,1,1,2,0,0,1,1,0,5
401729147,Zoe Brooks,28,4-7,0-2,4-4,0,0,0,2,3,1,5,1,12
401729147,Aziaha James,32,4-13,3-8,2-2,0,2,2,4,1,0,2,3,13
401729147,Saniya Rivers,39,8-19,2-4,3-3,0,0,0,2,2,1,0,0,21
401729147,Madison Hayes,27,4-9,3-7,0-0,3,1,4,2,0,0,1,2,11
401729147,Tilda Trygger,5,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0
401702890,Zoe Brooks,35,8-13,1-2,2-4,0,3,3,3,2,0,2,1,19
401702890,Aziaha James,32,4-14,1-2,2-5,0,5,5,3,4,1,1,1,11
401702890,Saniya Rivers,35,3-8,2-4,2-2,1,5,6,4,0,1,5,3,10
401702890,Madison Hayes,34,2-7,0-2,2-4,4,5,9,0,0,2,1,2,6
401702890,Tilda Trygger,0,0,0,0,0,0,0,0,0,0,0,0,0
401702891,Zoe Brooks,21,3-9,0-1,1-2,0,6,6,2,1,0,1,3,7
401702891,Aziaha James,16,4-8,2-5,2-2,1,1,2,1,1,0,2,2,12
401702891,Saniya Rivers,21,3-7,0-1,8-9,1,4,5,4,3,0,1,0,14
401702891,Madison Hayes,24,2-6,0-0,2-3,3,5,8,0,0,0,2,1,6
401702891,Tilda Trygger,13,3-4,1-2,1-1,1,1,2,0,0,1,0,2,8
401702892,Zoe Brooks,25,1-8,0-0,1-1,1,1,2,1,0,0,1,0,3
401702892,Aziaha James,37,8-17,3-7,2-4,2,6,8,0,0,0,2,3,21
401702892,Saniya Rivers,40,11-21,0-0,3-4,4,7,11,0,1,1,0,0,25
401702892,Madison Hayes,36,0-5,0-2,7-8,4,6,10,0,2,2,0,0,7
401702892,Tilda Trygger,5,0-2,0-0,0-0,0,1,1,0,0,0,0,1,0
401720401,Zoe Brooks,29,5-8,0-1,1-1,1,2,3,3,1,0,2,3,11
401720401,Aziaha James,30,5-19,1-8,0-0,0,9,9,5,3,0,2,3,11
401720401,Saniya Rivers,31,5-11,1-2,3-4,0,13,13,2,2,1,4,1,14
401720401,Madison Hayes,23,1-3,0-0,0-0,2,4,6,1,0,1,2,3,2
401720401,Tilda Trygger,15,1-3,0-1,2-2,5,5,10,1,0,1,4,1,4
401702893,Zoe Brooks,36,5-12,0-2,0-2,0,3,3,6,3,1,4,1,10
401702893,Aziaha James,38,9-22,3-11,0-0,0,6,6,5,1,0,0,0,21
401702893,Saniya Rivers,26,1-5,0-2,0-2,0,6,6,4,0,1,0,0,2
401702893,Madison Hayes,36,4-12,2-6,1-2,1,4,5,0,0,0,3,0,11
401702893,Tilda Trygger,20,2-3,0-1,0-0,3,4,7,0,0,2,2,2,4
401724565,Tilda Trygger,23,2-5,0-1,2-2,2,1,3,1,0,1,0,0,6
401724565,Zoe Brooks,36,7-16,1-3,3-3,1,3,4,6,3,2,1,2,18
401724565,Aziaha James,35,5-10,1-6,4-4,1,6,7,4,1,1,3,1,15
401724565,Saniya Rivers,34,6-12,1-3,1-5,0,3,3,3,0,1,1,3,14
401724565,Madison Hayes,38,4-10,3-6,8-10,4,5,9,0,0,0,1,1,19
401724576,Tilda Trygger,21,4-6,0-0,2-3,2,1,3,0,0,1,0,1,10
401724576,Zoe Brooks,33,4-11,0-1,3-4,1,10,11,5,4,1,3,3,11
401724576,Aziaha James,23,6-14,2-6,3-5,0,2,2,4,0,1,0,2,17
401724576,Saniya Rivers,28,8-11,1-2,6-10,1,10,11,4,4,1,3,0,23
401724576,Madison Hayes,26,4-7,2-5,3-4,2,3,5,2,0,0,1,2,13
401724588,Tilda Trygger,34,7-15,4-7,1-2,6,4,10,0,0,1,4,4,19
401724588,Zoe Brooks,35,6-15,0-1,2-2,0,3,3,9,2,1,1,2,14
401724588,Aziaha James,38,9-18,3-7,0-0,1,3,4,0,0,0,2,3,21
401724588,Saniya Rivers,40,5-15,1-3,1-3,0,7,7,4,1,2,1,0,12
401724588,Madison Hayes,38,1-7,1-5,0-0,1,6,7,1,0,0,0,0,3
401724594,Tilda Trygger,30,4-7,0-2,2-2,1,4,5,3,1,1,2,1,10
401724594,Zoe Brooks,27,6-12,2-3,0-0,0,1,1,4,1,1,1,2,14
401724594,Aziaha James,27,6-14,1-6,2-2,1,4,5,2,2,0,3,2,15
401724594,Saniya Rivers,40,7-12,2-3,1-1,2,9,11,2,1,2,4,1,17
401724594,Madison Hayes,36,4-9,3-6,0-0,1,4,5,3,0,0,0,0,11
401724737,Tilda Trygger,14,2-4,0-1,0-2,0,1,1,0,0,0,1,3,4
401724737,Zoe Brooks,30,5-11,2-2,2-3,0,6,6,4,2,1,1,1,14
401724737,Aziaha James,30,7-11,6-10,2-2,0,2,2,4,0,0,1,3,22
401724737,Saniya Rivers,39,4-10,2-3,5-5,1,3,4,7,3,2,2,1,15
401724737,Madison Hayes,39,4-11,1-5,4-4,0,10,10,3,1,0,3,4,13
401724601,Tilda Trygger,29,4-10,1-1,0-0,7,6,13,1,0,0,1,3,9
401724601,Zoe Brooks,40,4-13,2-5,4-4,0,2,2,7,2,0,1,1,14
401724601,Aziaha James,40,8-21,1-8,3-4,0,4,4,2,0,0,1,0,20
401724601,Saniya Rivers,29,3-8,0-2,0-0,0,1,1,3,4,0,1,2,6
401724601,Madison Hayes,39,5-13,1-3,8-8,6,5,11,0,2,2,2,0,19
401724607,Tilda Trygger,19,2-5,0-0,0-0,1,1,2,0,0,0,0,1,4
401724607,Zoe Brooks,38,5-11,0-2,9-10,1,7,8,7,1,0,1,1,19
401724607,Aziaha James,26,6-18,0-4,2-2,1,0,1,2,2,1,2,1,14
401724607,Saniya Rivers,37,1-6,0-1,2-4,0,3,3,6,2,0,0,1,4
401724607,Madison Hayes,37,7-12,3-6,1-1,1,9,10,0,2,2,1,1,18
401724620,Tilda Trygger,22,2-4,0-0,0-2,0,1,1,0,0,0,0,2,4
401724620,Zoe Brooks,27,5-8,0-0,2-2,2,6,8,3,1,0,3,2,12
401724620,Aziaha James,29,10-18,3-6,2-3,0,5,5,4,2,0,1,0,25
401724620,Saniya Rivers,29,7-11,0-0,3-4,1,5,6,1,3,1,1,2,17
401724620,Madison Hayes,27,5-6,0-1,2-4,2,4,6,0,1,0,0,0,12
401724623,Tilda Trygger,21,4-4,0-0,4-4,1,2,3,0,0,0,0,2,12
401724623,Zoe Brooks,29,6-12,0-1,6-8,2,2,4,5,0,0,3,4,18
401724623,Aziaha James,23,3-7,0-2,1-2,2,3,5,3,0,0,2,1,7
401724623,Saniya Rivers,26,5-11,0-3,3-3,0,4,4,1,1,1,0,0,13
401724623,Madison Hayes,28,3-6,1-3,0-0,2,5,7,1,3,1,0,0,7
401724636,Tilda Trygger,22,2-2,1-1,0-0,0,7,7,0,1,0,2,3,5
401724636,Zoe Brooks,28,6-11,0-1,3-4,2,2,4,3,0,1,3,3,15
401724636,Aziaha James,36,15-19,2-5,4-8,1,5,6,0,1,1,5,2,36
401724636,Saniya Rivers,39,5-12,0-1,3-4,0,3,3,4,1,2,2,1,13
401724636,Madison Hayes,38,2-6,1-4,3-3,2,5,7,1,1,1,1,1,8
401724649,Tilda Trygger,34,7-12,0-1,2-2,6,8,14,0,1,3,0,1,16
401724649,Zoe Brooks,32,8-16,1-2,4-4,2,5,7,7,0,1,2,1,21
401724649,Aziaha James,38,9-18,2-7,2-4,0,5,5,2,3,0,1,1,22
401724649,Saniya Rivers,33,4-10,2-4,2-4,0,3,3,3,1,2,2,3,12
401724649,Madison Hayes,36,4-11,2-5,4-6,3,6,9,2,0,0,0,2,14
401724655,Tilda Trygger,29,4-7,0-1,2-3,3,3,6,2,0,1,0,2,10
401724655,Zoe Brooks,25,4-11,0-1,0-0,0,1,1,4,1,0,4,0,8
401724655,Aziaha James,38,7-16,1-6,0-0,1,5,6,3,1,1,0,2,15
401724655,Saniya Rivers,35,3-10,1-5,0-0,1,5,6,5,1,1,2,1,7
401724655,Madison Hayes,38,6-12,4-9,3-4,1,6,7,1,1,2,0,0,19
401724662,Tilda Trygger,29,4-9,0-4,0-1,2,4,6,1,1,0,1,4,8
401724662,Zoe Brooks,32,4-13,0-1,2-5,1,5,6,0,2,0,1,3,10
401724662,Aziaha James,29,7-16,2-4,0-1,2,5,7,4,0,0,3,3,16
401724662,Saniya Rivers,40,7-18,0-5,0-2,1,11,12,4,2,4,2,3,14
401724662,Madison Hayes,34,5-9,2-3,1-1,5,6,11,1,0,0,1,2,13
401724673,Tilda Trygger,33,2-4,0-0,4-4,4,3,7,0,0,2,2,1,8
401724673,Zoe Brooks,32,7-15,0-2,3-3,1,4,5,2,2,0,3,1,17
401724673,Aziaha James,29,7-11,3-6,0-2,0,2,2,3,1,0,1,0,17
401724673,Saniya Rivers,36,7-14,0-2,2-2,0,7,7,8,2,1,3,1,16
401724673,Madison Hayes,40,5-11,4-7,0-0,2,4,6,3,1,0,0,0,14
401724678,Tilda Trygger,43,8-9,2-2,1-2,1,9,10,1,0,2,1,0,19
401724678,Zoe Brooks,48,9-21,1-4,14-14,3,7,10,3,1,2,6,3,33
401724678,Aziaha James,43,8-19,2-6,2-2,0,5,5,2,1,0,4,1,20
401724678,Saniya Rivers,48,5-17,1-3,3-4,3,10,13,9,2,3,5,1,14
401724678,Madison Hayes,43,4-8,1-4,4-4,0,4,4,0,0,1,0,3,13
401724690,Tilda Trygger,17,1-2,0-0,0-0,2,3,5,0,0,0,1,4,2
401724690,Zoe Brooks,26,5-8,2-3,5-6,0,6,6,4,1,1,0,1,17
401724690,Aziaha James,31,7-21,6-15,1-2,0,3,3,4,2,0,1,0,21
401724690,Saniya Rivers,27,3-6,0-1,0-0,0,5,5,3,0,2,1,1,6
401724690,Madison Hayes,28,5-9,1-4,3-4,3,6,9,0,1,0,1,1,14
401724695,Tilda Trygger,31,2-6,0-1,0-0,1,3,4,0,2,0,0,1,4
401724695,Zoe Brooks,32,9-12,1-3,0-0,0,3,3,3,1,0,5,1,19
401724695,Aziaha James,27,7-17,4-9,1-2,1,8,9,3,0,0,3,3,19
401724695,Saniya Rivers,38,2-6,0-3,0-0,1,12,13,11,3,1,2,1,4
401724695,Madison Hayes,36,7-11,1-3,3-4,4,7,11,2,1,0,1,2,18
401743780,Tilda Trygger,38,6-13,0-2,0-1,6,0,6,1,0,0,1,1,12
401743780,Zoe Brooks,40,6-16,0-2,2-3,0,9,9,4,3,0,0,1,14
401743780,Aziaha James,30,7-17,0-4,2-2,0,4,4,2,0,1,1,3,16
401743780,Saniya Rivers,34,3-10,2-5,1-2,0,4,4,3,0,0,2,2,9
401743780,Madison Hayes,35,3-4,1-1,2-2,0,6,6,0,0,0,0,1,9
401743783,Tilda Trygger,18,3-4,1-1,1-2,2,1,3,1,0,0,2,4,8
401743783,Zoe Brooks,37,3-9,0-2,0-0,0,7,7,2,1,0,4,4,6
401743783,Aziaha James,31,5-14,1-6,8-8,4,5,9,2,1,0,4,2,19
401743783,Saniya Rivers,38,4-11,0-3,0-0,1,7,8,2,1,2,2,0,8
401743783,Madison Hayes,33,3-9,2-5,2-2,0,8,8,2,0,1,0,2,10
401743785,Tilda Trygger,33,1-5,0-2,2-2,2,5,7,1,0,0,0,0,4
401743785,Zoe Brooks,36,6-12,1-2,4-4,0,2,2,1,2,0,1,4,17
401743785,Aziaha James,36,7-21,2-8,2-3,0,1,1,2,0,0,4,3,18
401743785,Saniya Rivers,37,6-14,3-4,1-2,1,4,5,4,2,1,4,1,16
401743785,Madison Hayes,37,1-3,1-1,0-0,1,5,6,0,0,1,0,1,3
